#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 04 09 50 302  8.4 11.0  1.49  5.00  4.31 999 1024.8  -4.3   9.2 999.0 99.0 99.00
2012 01 04 10 50 307  7.5 10.0  1.58  4.76  4.46 999 1025.1  -4.6   9.1 999.0 99.0 99.00
2012 01 04 11 50 312  8.0 10.3  1.44  5.00  4.32 999 1026.0  -5.0   9.1 999.0 99.0 99.00
2012 01 04 12 50 296  7.5  9.9  1.38  4.55  4.24 999 1026.8  -5.4   9.1 999.0 99.0 99.00
2012 01 04 13 50 303  8.9 11.7  1.33  5.26  4.11 999 1027.5  -5.8   9.1 999.0 99.0 99.00
2012 01 04 14 50 312  6.4 10.0  1.14  4.55  3.96 999 1027.4  -6.1   9.0 999.0 99.0 99.00
2012 01 04 15 50 310  6.3  8.4  1.03  4.17  3.90 999 1026.6  -5.6   9.1 999.0 99.0 99.00
2012 01 04 16 50 302  5.9  8.1  0.88  5.26  3.78 999 1025.5  -4.7   9.0 999.0 99.0 99.00
2012 01 04 17 50 309  5.4  7.4  0.79  5.26  3.72 999 1024.3  -3.8   8.9 999.0 99.0 99.00
2012 01 04 18 50 279  5.4  7.0  0.72  5.26  3.72 999 1023.5  -3.1   8.9 999.0 99.0 99.00
2012 01 04 19 50 235  4.1  5.8  0.62  5.00  3.76 999 1022.7  -2.0   8.9 999.0 99.0 99.00
2012 01 04 20 50 231  5.1  7.6  0.53  5.00  3.62 999 1021.8  -1.1   8.9 999.0 99.0 99.00
2012 01 04 21 50 218  5.2  6.9  0.52  5.26  3.28 999 1021.3  -0.4   8.9 999.0 99.0 99.00
2012 01 04 22 50 210  7.8  9.3  0.58  2.94  3.27 999 1020.6   0.2   8.9 999.0 99.0 99.00
2012 01 04 23 50 234  6.0  7.9  0.62  3.33  3.39 999 1020.7   1.0   8.9 999.0 99.0 99.00
2012 01 05 00 50 237  8.6 11.2  0.70  3.70  3.37 999 1020.4   2.3   8.9 999.0 99.0 99.00
2012 01 05 01 50 223  6.3  7.8  0.74  4.00  3.67 999 1020.1   2.8   9.0 999.0 99.0 99.00
2012 01 05 02 50 223  9.7 11.5  0.77  4.00  3.55 999 1019.0   4.1   9.0 999.0 99.0 99.00
2012 01 05 03 50 227 10.3 12.2  1.06  4.00  3.82 999 1018.1   4.5   9.0 999.0 99.0 99.00
2012 01 05 04 50 232 10.3 12.2  1.30  5.00  4.05 999 1016.9   4.8   9.1 999.0 99.0 99.00
2012 01 05 05 50 256 10.0 13.1  1.45  5.26  4.33 999 1016.6   4.6   9.1 999.0 99.0 99.00
2012 01 05 06 50 268  9.2 11.4  1.35  5.56  4.17 999 1016.8   2.3   9.1 999.0 99.0 99.00
2012 01 05 07 50 279  6.1  8.4  1.22  5.56  4.29 999 1016.5   2.0   9.2 999.0 99.0 99.00
2012 01 05 08 50 263  3.3  4.4  1.17  6.67  4.60 999 1015.9   2.8   9.2 999.0 99.0 99.00
2012 01 05 09 50 267  3.8  5.4  1.11  6.25  4.78 999 1015.7   3.4   9.2 999.0 99.0 99.00
2012 01 05 10 50 272  6.4  7.5  1.09  6.67  4.82 999 1015.4   3.9   9.2 999.0 99.0 99.00
2012 01 05 11 50 276  7.4  9.0  1.01  6.67  4.50 999 1015.7   3.9   9.2 999.0 99.0 99.00
2012 01 05 12 50 286  7.9  9.4  0.95  6.25  4.06 999 1016.2   4.1   9.2 999.0 99.0 99.00
2012 01 05 13 50 298  6.6  8.0  0.97  6.25  4.27 999 1017.0   4.3   9.3 999.0 99.0 99.00
2012 01 05 14 50 301  7.2  8.4  1.06  6.25  4.45 999 1017.5   4.3   9.4 999.0 99.0 99.00
2012 01 05 15 50 304  8.3 10.5  1.02  6.67  4.13 999 1017.0   4.8   9.3 999.0 99.0 99.00
2012 01 05 16 50 318  8.6 10.4  1.15  6.25  4.18 999 1016.0   5.0   9.3 999.0 99.0 99.00
2012 01 05 17 50 314  8.0 10.2  0.98  6.25  3.99 999 1015.3   4.9   9.4 999.0 99.0 99.00
2012 01 05 18 50 312  7.4  9.3  1.00  4.17  3.87 999 1015.2   4.9   9.4 999.0 99.0 99.00
2012 01 05 19 50 304  6.7  8.3  0.98  4.17  4.18 999 1015.2   5.3   9.4 999.0 99.0 99.00
2012 01 05 20 50 297  7.7  9.2  0.89  4.00  4.01 999 1015.7   5.7   9.3 999.0 99.0 99.00
2012 01 05 21 50 289  7.7  9.3  1.01  4.17  4.01 999 1016.2   5.9   9.3 999.0 99.0 99.00
2012 01 05 22 50 288  6.4  8.0  0.88  4.00  4.07 999 1017.0   6.1   9.3 999.0 99.0 99.00
2012 01 05 23 50 289  6.7  8.2  0.81  4.00  3.96 999 1017.6   6.2   9.3 999.0 99.0 99.00
2012 01 06 00 50 275  5.9  7.0  0.82  3.85  4.03 999 1017.7   6.2   9.3 999.0 99.0 99.00
2012 01 06 01 50 258  5.0  6.1  0.73  7.14  3.97 999 1017.9   6.2   9.3 999.0 99.0 99.00
2012 01 06 02 50 255  3.4  4.3  0.65  7.14  4.10 999 1018.1   6.3   9.3 999.0 99.0 99.00
2012 01 06 03 50 230  3.2  4.1  0.63  6.67  4.25 999 1017.8   6.6   9.3 999.0 99.0 99.00
2012 01 06 04 50 223  2.7  3.2  0.63 11.43  4.58 999 1017.3   6.7   9.3 999.0 99.0 99.00
2012 01 06 05 50 212  5.8  6.5  0.56  6.25  4.24 999 1017.3   7.1   9.3 999.0 99.0 99.00
2012 01 06 06 50 196  5.8  6.6  0.51  6.67  3.72 999 1016.7   7.9   9.3 999.0 99.0 99.00
2012 01 06 07 50 193  7.3  8.5  0.58 11.43  3.67 999 1016.5   8.6   9.1 999.0 99.0 99.00
2012 01 06 08 50 219  7.1  8.1  0.61  2.86  3.39 999 1016.4   8.5   9.2 999.0 99.0 99.00
2012 01 06 09 50 213  6.7  7.6  0.67  3.45  3.37 999 1015.9   8.2   9.3 999.0 99.0 99.00
