YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 05 10 224  4.6  5.5  1.47  5.88  5.00 999 1008.6   9.3   7.8   8.7 99.0 99.00
2004 01 05 11 211  7.8  9.0  1.63  6.25  4.80 999 1008.3  10.3   7.8   9.2 99.0 99.00
2004 01 05 12 209  7.2  8.2  1.65  6.67  4.82 999 1008.5   9.9   7.8   8.8 99.0 99.00
2004 01 05 13 210  8.1  9.2  1.76  6.67  5.11 999 1008.4  10.3   7.7   9.1 99.0 99.00
2004 01 05 14 211  7.5  8.8  1.65  6.67  5.17 999 1009.0  10.0   7.7   8.8 99.0 99.00
2004 01 05 15 214  8.4  9.7  1.68  7.14  5.01 999 1009.3  10.3   7.8   9.3 99.0 99.00
2004 01 05 16 218  7.6  8.7  1.78  7.14  5.34 999 1009.1   9.9   7.8   9.1 99.0 99.00
2004 01 05 17 211  7.8  9.0  1.73  7.14  5.44 999 1008.0   9.9   7.8   9.3 99.0 99.00
2004 01 05 18 230  5.9  7.0  1.65  7.14  5.43 999 1007.6   9.7   7.7   9.2 99.0 99.00
2004 01 05 19 305  1.2  3.2  1.63  7.14  5.63 999 1007.6   7.5   7.7   7.0 99.0 99.00
2004 01 05 20 143  1.0  1.4  1.53  7.14  5.67 999 1007.3   7.6   7.8   7.0 99.0 99.00
2004 01 05 21 155  2.3  3.1  1.44  7.14  5.47 999 1007.4   7.9   7.9   7.4 99.0 99.00
2004 01 05 22 320  5.7  8.5 99.00 99.00 99.00 999 1008.0   8.4   7.8   7.9 99.0 99.00
2004 01 05 23 346  6.7  7.9  1.56  7.14  5.70 999 1008.8   7.5   7.9   6.9 99.0 99.00
2004 01 06 00 332  5.3  6.4  1.50  6.67  5.57 999 1009.4   7.5   7.9   6.9 99.0 99.00
2004 01 06 01 327  7.9  9.4  1.36  7.14  5.36 999 1010.8   7.5   7.9   6.9 99.0 99.00
2004 01 06 02 337  8.1  9.7  1.29  6.25  5.08 999 1011.3   7.3   7.9   6.6 99.0 99.00
2004 01 06 03 342  7.7  9.0  1.22  7.69  4.89 999 1012.5   7.6   7.8   6.0 99.0 99.00
2004 01 06 04 347  7.5  8.9  1.29  7.14  4.86 999 1012.7   7.6   7.8   4.8 99.0 99.00
2004 01 06 05 333  6.5  7.8  1.17  7.69  4.84 999 1013.6   7.5   7.7   4.5 99.0 99.00
2004 01 06 06 331 10.9 12.9  1.29  7.69  4.62 999 1014.0   7.1   7.6   2.4 99.0 99.00
2004 01 06 07 329 10.1 99.0 99.00 99.00 99.00 999 1015.0   6.8   7.6   2.0 99.0 99.00
2004 01 06 08 309 10.9 12.9  1.51  4.35  4.34 999 1015.8   6.3   7.6   0.9 99.0 99.00
2004 01 06 09 316 13.2 15.7  1.68  4.55  4.47 999 1016.1   5.5   7.6  -1.0 99.0 99.00
2004 01 06 10 323 11.6 14.1  1.66  5.26  4.49 999 1016.8   4.9   7.7  -1.7 99.0 99.00
2004 01 06 11 325 10.7 13.3 99.00 99.00 99.00 999 1017.5   4.6   7.8  -1.8 99.0 99.00
2004 01 06 12 321 11.1 13.8 99.00 99.00 99.00 999 1018.0   4.5   8.0  -2.9 99.0 99.00
2004 01 06 13 319 10.9 13.9  1.56  5.00  4.41 999 1018.7   4.6   8.2  -2.4 99.0 99.00
2004 01 06 14 316 10.3 13.0  1.42  4.76  4.25 999 1019.6   4.7   8.4  -2.5 99.0 99.00
2004 01 06 15 320 10.1 11.7  1.33  5.00  4.10 999 1020.2   4.5   8.4  -3.5 99.0 99.00
2004 01 06 16 308  7.5  9.4  1.21  5.00  4.18 999 1020.1   4.3   8.5  -3.8 99.0 99.00
2004 01 06 18 311  8.9 10.7  0.99  4.00  3.84 999 1019.2   4.8   8.4  -3.5 99.0 99.00
2004 01 06 19 313  9.0 11.7  0.88  3.70  3.91 999 1018.9   5.1   8.4  -3.3 99.0 99.00
2004 01 06 20 293  9.1 11.1  1.05  4.00  3.85 999 1018.8   4.9   8.3  -5.1 99.0 99.00
2004 01 06 21 287  8.3 10.5  0.95  4.35  3.98 999 1019.1   5.1   8.1  -5.3 99.0 99.00
2004 01 06 22 277  7.8 10.0  0.92  4.35  4.03 999 1019.3   5.1   8.1  -4.8 99.0 99.00
2004 01 06 23 291  7.3  8.8 99.00 99.00 99.00 999 1019.6   5.2   8.1  -5.3 99.0 99.00
2004 01 07 00 316 14.5 17.0  1.27  4.55  3.98 999 1020.1   3.3   8.0  -2.0 99.0 99.00
2004 01 07 01 307 14.2 18.0  1.76  5.26  4.56 999 1021.1   2.7   8.0  -7.2 99.0 99.00
2004 01 07 02 317 13.8 16.4  2.06  5.88  4.83 999 1021.8   1.5   8.1  -9.1 99.0 99.00
2004 01 07 03 318 13.1 17.2  2.06  5.88  4.87 999 1022.6   0.3   8.1  -9.1 99.0 99.00
2004 01 07 04 316 14.6 17.4  2.31  5.88  4.92 999 1022.7  -0.2   8.1 -10.2 99.0 99.00
2004 01 07 05 310 13.8 17.2  2.12  5.88  4.84 999 1023.2  -1.1   8.2 -11.0 99.0 99.00
2004 01 07 06 308 11.9 15.9  1.93  5.88  4.75 999 1023.7  -1.4   8.2 -10.0 99.0 99.00
2004 01 07 08 302 11.4 13.9  1.77  5.56  4.61 999 1024.1  -2.2   8.2 -11.2 99.0 99.00
2004 01 07 09 304 10.8 14.4  1.47  5.00  4.37 999 1023.9  -2.5   8.2 -11.0 99.0 99.00
2004 01 07 10 295 11.0 14.6  1.37  5.00  4.34 999 1024.1  -3.0   8.3 -11.5 99.0 99.00
2004 01 07 11 307 11.7 14.5  1.29  5.00  4.18 999 1024.5  -3.4   8.4 -11.2 99.0 99.00
2004 01 07 13 304 10.8 14.1 99.00 99.00 99.00 999 1025.8  -4.3   8.3 -12.0 99.0 99.00
2004 01 07 14 294 12.4 14.9 99.00 99.00 99.00 999 1027.1  -4.1   8.3 -11.5 99.0 99.00
2004 01 07 15 295 12.3 15.1 99.00 99.00 99.00 999 1027.6  -3.7   8.3 -11.5 99.0 99.00
2004 01 07 16 287 11.1 15.3  1.52  5.00  4.19 999 1026.9  -3.8   8.3 -12.3 99.0 99.00
2004 01 07 17 291 10.3 13.9  1.45  5.26  4.20 999 1025.8  -3.2   8.4 -12.7 99.0 99.00
2004 01 07 18 293 10.9 14.2  1.41  5.00  4.16 999 1024.7  -2.5   8.0 -11.8 99.0 99.00
2004 01 07 19 291 10.8 14.8  1.39  5.26  4.12 999 1023.9  -2.2   8.1 -11.5 99.0 99.00
2004 01 07 20 294 10.8 14.3  1.45  5.00  4.25 999 1024.0  -1.7   8.2 -10.8 99.0 99.00
2004 01 07 21 278 11.0 14.8 99.00 99.00 99.00 999 1025.2  -1.2   8.1 -10.5 99.0 99.00
2004 01 07 22 277 10.4 13.8  1.56  5.26  4.40 999 1025.7  -1.3   8.0 -11.2 99.0 99.00
2004 01 08 00 284  9.4 12.0  1.41  5.26  4.41 999 1026.3  -0.6   7.8  -9.9 99.0 99.00
2004 01 08 01 290  9.7 13.8 99.00 99.00 99.00 999 1026.8  -0.7   7.8 -10.2 99.0 99.00
2004 01 08 02 283 11.2 14.0  1.45  4.35  4.20 999 1026.9  -0.6   7.7  -9.9 99.0 99.00
2004 01 08 03 286 10.5 13.9  1.36  4.76  4.19 999 1027.2  -0.9   7.7 -10.0 99.0 99.00
2004 01 08 04 296 11.0 14.1  1.45  5.00  4.16 999 1027.1  -1.1   7.7 -10.2 99.0 99.00
2004 01 08 05 301 11.8 14.2  1.36  5.26  4.15 999 1026.9  -1.3   7.8  -9.5 99.0 99.00
2004 01 08 06 304 11.5 14.7  1.39  5.00  4.21 999 1026.7  -1.5   7.8 -10.7 99.0 99.00
2004 01 08 07 303 11.4 14.5  1.36  4.76  4.17 999 1027.1  -1.1   7.9  -9.8 99.0 99.00
2004 01 08 09 309 11.6 14.7  1.51  5.00  4.33 999 1027.0  -0.9   8.1  -8.5 99.0 99.00
2004 01 08 10 310 12.5 99.0 99.00 99.00 99.00 999 1026.6  -1.1   8.2  -9.5 99.0 99.00
2004 01 08 11 301 11.2 99.0 99.00 99.00 99.00 999 9999.0  -0.6 999.0 999.0 99.0 99.00
