YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 04 03 00 217  7.9  8.8  0.99  3.85  3.82 999 1023.0   9.4   7.6   8.2 99.0 99.00
2005 01 04 04 00 212  9.2 10.8  1.10  4.00  3.91 999 1022.3   9.9   7.6   8.6 99.0 99.00
2005 01 04 05 00 210  9.7 11.4  1.17  4.17  3.85 999 1021.0   9.6   7.8   8.4 99.0 99.00
2005 01 04 06 00 214  9.6 11.1  1.19  4.17  3.91 999 1020.2   9.6   8.1   8.4 99.0 99.00
2005 01 04 07 00 221  8.9 10.3  1.20  4.35  4.02 999 1019.7   9.4   8.1   8.3 99.0 99.00
2005 01 04 08 00 222  7.7  8.8  1.12  4.76  4.06 999 1019.5   9.1   7.9   8.1 99.0 99.00
2005 01 04 09 00 218  8.8 10.3  1.11  4.55  4.03 999 1018.8   9.0   7.6   8.1 99.0 99.00
2005 01 04 10 00 220  8.0  9.1  1.19  5.26  4.26 999 1018.6   8.8   7.3   7.9 99.0 99.00
2005 01 04 11 00 226  6.2  7.1  1.25  5.26  4.47 999 1018.9   8.7   7.2   7.8 99.0 99.00
2005 01 04 12 00 221  5.8  6.4  1.11  5.26  4.56 999 1019.4   8.4   7.2   7.6 99.0 99.00
2005 01 04 13 00 234  5.6  6.2  1.13  5.00  4.59 999 1019.9   8.8   7.1   8.0 99.0 99.00
2005 01 04 14 00 233  5.1  5.7  1.11  5.56  4.78 999 1020.7   8.7   7.1   7.9 99.0 99.00
2005 01 04 15 00 241  4.3  4.6  1.11  5.26  4.78 999 1021.6   9.2   7.0   8.3 99.0 99.00
2005 01 04 16 00 231  5.1  5.4  1.02  4.76  4.76 999 1021.4  10.1   7.1   8.8 99.0 99.00
2005 01 04 17 00 240  4.0  4.4  0.92  5.26  4.71 999 1020.4  10.8   7.2   9.2 99.0 99.00
2005 01 04 18 00  33  5.2  6.1  0.97  5.56  4.99 999 1020.7   8.8   7.4   7.8 99.0 99.00
2005 01 04 19 00  33  7.5  8.6  0.89  5.00  4.06 999 1020.6   7.6   7.5   7.1 99.0 99.00
2005 01 04 20 00  24  6.6  7.5  0.83  5.26  3.82 999 1021.4   7.7   7.9   7.1 99.0 99.00
2005 01 04 21 00  22  7.3  8.5  0.86  9.09  3.91 999 1021.8   7.6   8.2   6.9 99.0 99.00
2005 01 04 22 00  27  7.3  8.7  0.98 10.00  3.99 999 1022.6   7.5   8.2   6.9 99.0 99.00
2005 01 04 23 00  35  7.3  8.5  1.01 10.00  3.92 999 1023.3   7.5   8.2   6.8 99.0 99.00
2005 01 05 00 00  39  5.6  6.4  1.07  4.00  4.01 999 1024.3   7.6   8.1   6.9 99.0 99.00
2005 01 05 01 00  61  4.7  5.4  1.01  4.55  4.16 999 1024.1   7.8   8.1   7.1 99.0 99.00
2005 01 05 02 00  57  4.5  5.4  0.97  4.35  4.28 999 1023.7   8.0   8.0   7.3 99.0 99.00
2005 01 05 03 00  90  4.8  6.0  0.91  4.35  4.42 999 1023.1   8.2   8.0   7.5 99.0 99.00
2005 01 05 04 00 129  2.5  2.9  0.79  5.26  4.19 999 1023.1   8.5   8.0   7.8 99.0 99.00
2005 01 05 05 00 116  1.2  2.0  0.87  5.56  4.61 999 1022.6   8.9   8.1   8.1 99.0 99.00
2005 01 05 06 00 154  2.3  2.9  0.84 10.81  4.97 999 1021.6   8.9   8.2   8.3 99.0 99.00
2005 01 05 07 00 141  1.6  1.9  0.87  4.76  4.82 999 1021.0   8.9   8.3   8.3 99.0 99.00
2005 01 05 08 00  55  2.0  2.4  0.84 10.00  5.03 999 1020.1   8.8   8.3   8.2 99.0 99.00
2005 01 05 09 00  35  3.6  4.3  0.90 10.81  5.38 999 1019.3   8.3   8.3   7.6 99.0 99.00
2005 01 05 10 00  46  4.5  5.4  0.80  5.26  4.97 999 1018.6   8.2   8.2   7.5 99.0 99.00
2005 01 05 11 00  24  4.6  5.5  0.80 10.00  4.98 999 1018.8   8.1   8.1   7.5 99.0 99.00
2005 01 05 12 00  49  5.3  6.2  0.80  5.88  4.74 999 1017.9   8.3   8.1   7.6 99.0 99.00
2005 01 05 13 00  45  5.9  7.3  0.88  5.56  4.39 999 1018.1   8.4   8.0   7.7 99.0 99.00
2005 01 05 14 00  52  5.7  6.5  0.82 10.81  3.98 999 1018.3   8.4   7.9   7.8 99.0 99.00
2005 01 05 15 00  20  5.2  6.1  0.91  5.56  4.25 999 1018.5   8.4   7.8   7.8 99.0 99.00
2005 01 05 16 00   8  7.8  9.0  0.90 10.00  4.22 999 1018.7   8.0   7.7   7.4 99.0 99.00
2005 01 05 17 00  36  8.0  9.4  1.01 10.00  3.98 999 1017.3   8.2   7.8   7.5 99.0 99.00
2005 01 05 18 00  34  8.6 10.1  1.07  3.85  3.90 999 1016.6   8.2   8.2   7.5 99.0 99.00
2005 01 05 19 00  28  8.7 10.7  1.18  4.17  3.90 999 1016.2   7.7   8.5   7.0 99.0 99.00
2005 01 05 20 00  26  9.5 11.1  1.33  4.35  3.96 999 1017.0   7.6   8.5   6.9 99.0 99.00
2005 01 05 21 00  30  9.7 11.5  1.39  4.76  4.04 999 1017.7   7.1   8.5   6.4 99.0 99.00
2005 01 05 22 00  37 10.1 11.9  1.66  5.26  4.33 999 1018.0   6.8   8.5   6.0 99.0 99.00
2005 01 05 23 00  41  9.3 11.2  1.79  5.56  4.45 999 1018.7   6.9   8.3   6.2 99.0 99.00
2005 01 06 00 00  43  8.7 10.2  1.92  5.88  4.64 999 1019.0   7.2   8.0   6.5 99.0 99.00
2005 01 06 01 00  59  7.6  9.1  1.81  5.88  4.77 999 1018.7   7.5   7.9   6.8 99.0 99.00
2005 01 06 02 00  66  8.5 10.0  1.78  6.25  4.68 999 1017.5   7.7   7.9   7.0 99.0 99.00
2005 01 06 03 00  64  8.7 10.3  1.90  6.67  4.98 999 1016.8   7.9   8.1   7.3 99.0 99.00
2005 01 06 04 00  78  6.8  7.8  1.91  6.25  4.94 999 1016.4   8.2   8.1   7.6 99.0 99.00
2005 01 06 05 00  94  7.4  9.0  1.89  6.67  5.10 999 1015.4   8.6   8.1   7.9 99.0 99.00
2005 01 06 06 00  87  5.3  6.3  1.79  6.67  5.04 999 1014.8   8.8   8.2   8.2 99.0 99.00
2005 01 06 07 00  96  4.0  4.9  1.76  6.67  5.14 999 1014.1   9.1   8.2   8.4 99.0 99.00
2005 01 06 08 00 123  2.8  3.4  1.59  6.67  5.16 999 1013.3   9.0   8.2   8.4 99.0 99.00
2005 01 06 09 00 130  2.2  2.7  1.63  6.67  5.15 999 1012.9   9.0   8.2   8.4 99.0 99.00
2005 01 06 10 00 174  3.7  4.5  1.48  6.25  5.12 999 1012.1   9.1   8.2   8.5 99.0 99.00
2005 01 06 11 00 182  3.9  4.7  1.41  7.14  5.32 999 1012.0   9.0   8.2   8.3 99.0 99.00
2005 01 06 12 00 200  3.2  4.0  1.43  5.88  5.44 999 1012.5   9.0   8.2   8.3 99.0 99.00
2005 01 06 13 00 206  3.2  3.8  1.40  6.67  5.47 999 1012.4   8.6   8.2   7.9 99.0 99.00
2005 01 06 14 00 209  3.9  4.7  1.41  7.14  5.58 999 1012.3   8.2   8.1   7.6 99.0 99.00
2005 01 06 15 00 222  3.6  4.5  1.33  6.67  5.51 999 1012.1   8.4   8.2   7.8 99.0 99.00
2005 01 06 16 00 211  4.1  4.9  1.39  6.25  5.60 999 1011.6   8.5   8.2   7.9 99.0 99.00
