YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
91 01 06 03 999 99.0 99.0 00.50 08.30 05.70 999 1027.4  08.3 999.0 999.0 99.0
91 01 06 04 999 99.0 99.0 00.50 09.10 06.10 999 1027.4  08.2 999.0 999.0 99.0
91 01 06 05 999 99.0 99.0 00.50 09.10 06.20 999 1026.8  07.9 999.0 999.0 99.0
91 01 06 06 999 99.0 99.0 00.50 09.10 06.10 999 1026.5  07.4 999.0 999.0 99.0
91 01 06 07 999 99.0 99.0 00.60 09.10 06.50 999 1026.6  07.1 999.0 999.0 99.0
91 01 06 08 999 99.0 99.0 00.80 06.70 05.90 999 1025.8  07.0 999.0 999.0 99.0
91 01 06 09 999 99.0 99.0 00.90 07.10 05.90 999 1025.7  06.7 999.0 999.0 99.0
91 01 06 10 999 99.0 99.0 00.90 06.20 06.10 999 1025.8  06.7 999.0 999.0 99.0
91 01 06 11 999 99.0 99.0 01.00 06.70 06.30 999 1025.8  07.0 999.0 999.0 99.0
91 01 06 12 999 99.0 99.0 00.80 06.20 06.10 999 1026.6  07.2 999.0 999.0 99.0
91 01 06 13 999 99.0 99.0 00.80 07.10 06.10 999 1027.0  07.4 999.0 999.0 99.0
91 01 06 14 999 99.0 99.0 00.80 06.20 06.00 999 1027.7  07.8 999.0 999.0 99.0
91 01 06 15 999 99.0 99.0 00.80 06.70 05.80 999 1028.4  07.8 999.0 999.0 99.0
91 01 06 16 999 99.0 99.0 00.70 07.10 05.80 999 1028.2  07.9 999.0 999.0 99.0
91 01 06 17 999 99.0 99.0 00.70 09.10 06.00 999 1027.4  07.9 999.0 999.0 99.0
91 01 06 18 999 99.0 99.0 00.70 06.70 06.20 999 1026.6  07.9 999.0 999.0 99.0
91 01 06 19 999 99.0 99.0 00.60 07.10 06.30 999 1025.8  07.5 999.0 999.0 99.0
91 01 06 20 999 99.0 99.0 00.60 06.70 06.50 999 1026.3  07.8 999.0 999.0 99.0
91 01 06 21 999 99.0 99.0 00.60 06.20 06.30 999 1026.7  07.8 999.0 999.0 99.0
91 01 06 22 999 99.0 99.0 00.60 09.10 06.60 999 1026.7  07.8 999.0 999.0 99.0
91 01 06 23 999 99.0 99.0 00.60 08.30 06.60 999 1027.0  08.1 999.0 999.0 99.0
91 01 07 00 999 99.0 99.0 00.60 09.10 06.60 999 1027.2  08.6 999.0 999.0 99.0
91 01 07 01 999 99.0 99.0 00.60 06.20 06.00 999 1027.4  08.3 999.0 999.0 99.0
91 01 07 02 999 99.0 99.0 00.60 09.10 05.90 999 1027.9  07.9 999.0 999.0 99.0
91 01 07 03 999 99.0 99.0 00.70 08.30 05.80 999 1028.0  07.5 999.0 999.0 99.0
91 01 07 04 999 99.0 99.0 00.70 08.30 05.60 999 1028.0  07.8 999.0 999.0 99.0
91 01 07 05 999 99.0 99.0 00.70 09.10 04.80 999 1027.8  07.5 999.0 999.0 99.0
91 01 07 06 999 99.0 99.0 00.70 09.10 04.80 999 1027.3  07.3 999.0 999.0 99.0
91 01 07 07 999 99.0 99.0 00.70 09.10 05.30 999 1027.3  07.1 999.0 999.0 99.0
91 01 07 08 999 99.0 99.0 00.70 03.80 04.40 999 1027.4  07.1 999.0 999.0 99.0
91 01 07 09 999 99.0 99.0 00.90 04.00 04.40 999 1027.3  06.7 999.0 999.0 99.0
91 01 07 10 999 99.0 99.0 01.10 04.00 04.40 999 1026.9  06.3 999.0 999.0 99.0
91 01 07 11 999 99.0 99.0 01.30 04.80 04.50 999 1027.1  06.3 999.0 999.0 99.0
91 01 07 12 999 99.0 99.0 01.50 05.00 04.60 999 1027.3  05.9 999.0 999.0 99.0
91 01 07 13 999 99.0 99.0 01.80 05.60 04.80 999 1028.3  05.5 999.0 999.0 99.0
91 01 07 14 999 99.0 99.0 01.80 05.90 05.00 999 1029.1  05.5 999.0 999.0 99.0
91 01 07 15 999 99.0 99.0 02.00 05.90 05.20 999 1029.8  05.1 999.0 999.0 99.0
91 01 07 16 999 99.0 99.0 02.10 06.20 05.40 999 1028.9  04.8 999.0 999.0 99.0
91 01 07 17 999 99.0 99.0 02.20 06.70 05.50 999 1028.9  04.3 999.0 999.0 99.0
91 01 07 18 999 99.0 99.0 02.40 07.10 05.60 999 1028.5  03.5 999.0 999.0 99.0
91 01 07 19 999 99.0 99.0 02.60 07.10 05.80 999 1028.1  03.6 999.0 999.0 99.0
91 01 07 20 999 99.0 99.0 02.70 07.10 05.80 999 1028.4  03.6 999.0 999.0 99.0
91 01 07 21 999 99.0 99.0 02.60 07.10 05.90 999 1029.8  03.1 999.0 999.0 99.0
91 01 07 22 999 99.0 99.0 02.60 07.70 05.90 999 1029.8  02.7 999.0 999.0 99.0
91 01 07 23 999 99.0 99.0 02.70 07.70 05.80 999 1029.7  03.2 999.0 999.0 99.0
91 01 08 00 999 99.0 99.0 02.90 07.10 05.90 999 1030.5  03.3 999.0 999.0 99.0
91 01 08 01 999 99.0 99.0 02.60 07.10 05.80 999 1031.4  03.1 999.0 999.0 99.0
91 01 08 02 999 99.0 99.0 02.90 07.70 05.90 999 1031.7  03.9 999.0 999.0 99.0
91 01 08 03 999 99.0 99.0 02.80 07.10 05.90 999 1031.5  04.1 999.0 999.0 99.0
91 01 08 04 999 99.0 99.0 02.60 07.10 05.80 999 1031.6  04.3 999.0 999.0 99.0
91 01 08 05 999 99.0 99.0 02.50 07.70 05.80 999 1031.5  04.3 999.0 999.0 99.0
91 01 08 06 999 99.0 99.0 02.60 07.10 05.90 999 1031.7  04.4 999.0 999.0 99.0
91 01 08 07 999 99.0 99.0 02.60 07.10 06.00 999 1032.1  04.8 999.0 999.0 99.0
91 01 08 08 999 99.0 99.0 02.40 07.10 05.80 999 1032.2  05.1 999.0 999.0 99.0
91 01 08 09 999 99.0 99.0 02.50 07.10 05.90 999 1031.8  05.2 999.0 999.0 99.0
91 01 08 10 999 99.0 99.0 02.60 07.70 06.00 999 1032.0  05.5 999.0 999.0 99.0
91 01 08 11 999 99.0 99.0 02.80 07.10 06.20 999 1032.6  04.9 999.0 999.0 99.0
91 01 08 12 999 99.0 99.0 02.70 07.70 06.20 999 1032.8  05.1 999.0 999.0 99.0
91 01 08 13 999 99.0 99.0 02.80 07.70 06.20 999 1032.8  05.6 999.0 999.0 99.0
91 01 08 14 999 99.0 99.0 02.60 07.70 06.20 999 1033.6  06.2 999.0 999.0 99.0
91 01 08 15 999 99.0 99.0 02.60 08.30 06.20 999 1033.8  06.6 999.0 999.0 99.0
91 01 08 16 999 99.0 99.0 02.70 07.70 06.00 999 1033.3  06.7 999.0 999.0 99.0
91 01 08 17 999 99.0 99.0 03.00 07.70 06.20 999 1032.7  06.6 999.0 999.0 99.0
91 01 08 18 999 99.0 99.0 03.10 07.70 06.20 999 1031.5  06.4 999.0 999.0 99.0
91 01 08 19 999 99.0 99.0 03.10 07.70 06.30 999 1030.8  06.4 999.0 999.0 99.0
91 01 08 20 999 99.0 99.0 03.20 08.30 06.50 999 1030.9  06.3 999.0 999.0 99.0
91 01 08 21 999 99.0 99.0 03.60 08.30 06.90 999 1030.6  06.0 999.0 999.0 99.0
91 01 08 22 999 99.0 99.0 04.00 08.30 07.00 999 1030.2  05.9 999.0 999.0 99.0
91 01 08 23 999 99.0 99.0 03.80 09.10 06.80 999 1030.1  06.0 999.0 999.0 99.0
91 01 09 00 999 99.0 99.0 03.60 09.10 06.80 999 1029.4  05.9 999.0 999.0 99.0
91 01 09 01 999 99.0 99.0 99.00 99.00 99.00 999 1029.1  06.2 999.0 999.0 99.0
91 01 09 02 999 99.0 99.0 03.70 09.10 06.80 999 1029.1  06.6 999.0 999.0 99.0
91 01 09 03 999 99.0 99.0 03.80 10.00 06.80 999 1028.9  07.0 999.0 999.0 99.0
91 01 09 04 999 99.0 99.0 04.10 09.10 07.00 999 1028.7  07.1 999.0 999.0 99.0
91 01 09 05 999 99.0 99.0 03.80 09.10 06.90 999 1026.6  07.5 999.0 999.0 99.0
91 01 09 06 999 99.0 99.0 04.40 09.10 07.30 999 1025.6  07.9 999.0 999.0 99.0
91 01 09 07 999 99.0 99.0 03.70 10.00 07.00 999 1025.8  08.6 999.0 999.0 99.0
91 01 09 08 999 99.0 99.0 03.70 10.00 07.10 999 1025.2  08.7 999.0 999.0 99.0
91 01 09 09 999 99.0 99.0 03.90 10.00 07.50 999 1024.1  09.0 999.0 999.0 99.0
91 01 09 11 999 99.0 99.0 03.70 10.00 07.30 999 1022.7  09.7 999.0 999.0 99.0
91 01 09 12 999 99.0 99.0 03.90 10.00 07.50 999 1022.6  09.8 999.0 999.0 99.0
