YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 04 01 275  6.6  8.2  0.53 14.29  4.10 999 1022.2  -0.2   5.4  -7.4 99.0 99.00
2001 01 04 02 263  6.1  9.5  0.56 14.29  3.66 999 1021.6  -0.4   5.3  -8.2 99.0 99.00
2001 01 04 03 258  5.4  6.7  0.57  2.94  3.62 999 1020.9  -0.2   5.3  -7.5 99.0 99.00
2001 01 04 04 232  5.2  6.3  0.58 14.29  4.07 999 1020.4   0.0   5.5  -7.6 99.0 99.00
2001 01 04 05 230  6.7  8.1  0.58 14.29  3.93 999 1019.6   0.7   5.7  -5.8 99.0 99.00
2001 01 04 06 222  8.5 10.4  0.61 14.29  3.65 999 1018.3   1.7   5.8  -6.1 99.0 99.00
2001 01 04 07 228  9.0 10.5  0.79  3.57  3.64 999 1017.3   2.2   5.8  -5.4 99.0 99.00
2001 01 04 08 227  8.4  9.6  0.93  4.00  3.78 999 1017.1   2.0   5.9  -5.0 99.0 99.00
2001 01 04 09 223  8.7 10.2  1.05  4.35  3.98 999 1016.4   2.2   5.8  -5.0 99.0 99.00
2001 01 04 10 244  8.9 10.3  1.01  4.35  4.01 999 1016.4   1.0   5.4  -5.2 99.0 99.00
2001 01 04 11 258  7.6  8.7  1.01  4.55  4.20 999 1016.9   0.3   5.3  -5.8 99.0 99.00
2001 01 04 12 283  7.1  8.1  0.99  4.76  4.25 999 1017.2  -0.2   5.3  -6.3 99.0 99.00
2001 01 04 13 304  5.8  6.9  0.93  5.00  4.65 999 1017.4  -0.2   5.1  -5.7 99.0 99.00
2001 01 04 14 324  5.7  6.8  0.88  4.76  4.59 999 1017.8   0.5   5.1  -6.3 99.0 99.00
2001 01 04 15 322  5.3  6.3  0.85 16.67  4.75 999 1018.0   0.5   5.2  -5.5 99.0 99.00
2001 01 04 16 316  5.5  6.4  0.83 16.67  4.83 999 1018.1   0.3   5.3  -5.2 99.0 99.00
2001 01 04 17 325  6.5  8.1  0.88 16.67  5.03 999 1017.2   0.6   5.4  -5.6 99.0 99.00
2001 01 04 18 320  6.9  8.6  0.86 16.67  4.85 999 1016.4   0.9   5.4  -5.5 99.0 99.00
2001 01 04 19 331  6.2  7.8  0.79 16.67  4.23 999 1016.3   1.2   5.7  -5.2 99.0 99.00
2001 01 04 20 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 04 21 314  8.8 10.4  0.85 16.67  4.24 999 1015.9   2.3   5.8  -4.8 99.0 99.00
2001 01 04 22 321  9.7 11.6  0.97  3.70  4.01 999 1016.3   1.8   5.9  -4.8 99.0 99.00
2001 01 04 23 309  9.8 12.1  1.13  4.00  4.03 999 1017.0   1.6   5.9  -5.7 99.0 99.00
2001 01 05 00 304  8.7 10.8  1.10  4.17  4.11 999 1017.5   1.5   5.8  -5.2 99.0 99.00
2001 01 05 01 300  8.2  9.8  1.04  3.85  3.95 999 1017.7   1.4   5.8  -5.0 99.0 99.00
2001 01 05 02 296  6.6  8.3  0.91 16.67  4.14 999 1017.6   1.0   5.7  -5.2 99.0 99.00
2001 01 05 03 298  6.2  8.0  0.82 16.67  4.51 999 1017.5   1.0   5.8  -5.1 99.0 99.00
2001 01 05 04 304  7.4  8.8  0.79 16.67  4.53 999 1017.3   1.1   6.0  -6.0 99.0 99.00
2001 01 05 05 283  5.2  6.8  0.68 16.67  4.54 999 1016.9   0.7   6.0  -5.0 99.0 99.00
2001 01 05 06 285  5.8  7.4  0.65 16.67  4.97 999 1016.2   0.5   6.0  -5.0 99.0 99.00
2001 01 05 07 302  5.1  6.5  0.70 16.67  4.57 999 1015.6   0.5   6.1  -5.8 99.0 99.00
2001 01 05 08 298  4.1  5.6  0.62 16.67  4.62 999 1015.6   0.5   6.1  -5.9 99.0 99.00
2001 01 05 09 267  3.6  5.3  0.58 16.67  5.37 999 1014.7   0.3   6.2  -5.5 99.0 99.00
2001 01 05 10 256  2.9  4.0  0.50 14.29  5.79 999 1014.2   0.3   6.2  -5.8 99.0 99.00
2001 01 05 11 238  2.9  4.1  0.56 16.67  6.12 999 1013.9   0.4   5.8  -6.3 99.0 99.00
2001 01 05 12 200  3.8  4.9  0.52 16.67  7.03 999 1013.5   0.6   5.5  -5.8 99.0 99.00
2001 01 05 13 185  6.7  7.8  0.49 16.67  7.21 999 1012.5   1.2   5.5  -4.9 99.0 99.00
2001 01 05 14 183  8.2 10.4  0.55 16.67  4.01 999 1011.6   1.8   5.6  -3.6 99.0 99.00
2001 01 05 15 186  9.9 11.7  0.88  3.23  3.73 999 1010.6   3.1   5.5  -1.2 99.0 99.00
2001 01 05 16 210 11.7 14.0  1.02  4.00  3.81 999 1009.9   3.5   5.5  -0.5 99.0 99.00
2001 01 05 17 219 10.5 13.0  1.33  4.55  4.21 999 1008.5   3.1   5.0  -0.8 99.0 99.00
2001 01 05 18 209 12.0 15.3  1.69  5.00  4.41 999 1006.2   3.0   5.1  -1.1 99.0 99.00
2001 01 05 19 177  9.8 11.7  1.79  5.26  4.55 999 1003.7   3.9   4.9   0.2 99.0 99.00
2001 01 05 20 176  9.7 11.9  1.68  5.88  4.48 999 1002.5   4.9   4.9   1.4 99.0 99.00
2001 01 05 21 189  8.2  9.3  1.53  5.88  4.54 999 1002.6   5.6   4.6   2.3 99.0 99.00
2001 01 05 22 221  8.6 11.3  1.58  6.25  4.66 999 1002.2   5.1   4.6   1.9 99.0 99.00
2001 01 05 23 225  9.9 11.6  1.50  6.25  4.61 999 1002.2   3.9   4.4   1.6 99.0 99.00
2001 01 06 00 242  7.1  8.1  1.55  6.25  4.98 999 1003.0   3.8   4.1   1.4 99.0 99.00
2001 01 06 01 241  5.0  5.9  1.58  7.14  5.50 999 1003.2   3.7   4.1   1.1 99.0 99.00
2001 01 06 02 259  5.8  6.9  1.53  7.69  5.66 999 1002.9   3.4   4.1   0.9 99.0 99.00
2001 01 06 03 269  7.3  9.8  1.47  7.69  5.81 999 1002.3   3.1   3.8   0.1 99.0 99.00
2001 01 06 04 272  6.7  8.0  1.59  7.69  5.82 999 1002.0   3.0   3.6   0.3 99.0 99.00
2001 01 06 05 279  6.3  7.5  1.29  7.69  5.33 999 1001.8   2.8   3.6   0.1 99.0 99.00
2001 01 06 06 280  6.5  7.7  1.33  7.69  5.33 999 1001.8   2.9   3.5   0.2 99.0 99.00
2001 01 06 07 289  5.9  6.7  1.27  6.25  5.17 999 1002.0   2.7   3.6  -0.1 99.0 99.00
2001 01 06 08 297  7.2  8.5  1.19  7.69  4.79 999 1002.5   3.0   3.9   0.0 99.0 99.00
2001 01 06 09 296  6.5  8.1  1.12  7.14  4.89 999 1002.6   2.8   4.1   0.0 99.0 99.00
2001 01 06 10 294  7.6  9.1  1.05  7.14  4.75 999 1003.0   2.9   4.4   0.1 99.0 99.00
2001 01 06 11 292  9.5 11.3  1.05  8.33  4.35 999 1003.6   2.7   4.6  -0.1 99.0 99.00
2001 01 06 12 292  8.6 10.1  1.08  3.45  4.20 999 1004.4   2.7   4.8  -0.2 99.0 99.00
2001 01 06 13 292  8.0 10.0  0.99  7.69  4.23 999 1004.7   2.7   4.7  -0.3 99.0 99.00
2001 01 06 14 285  8.5 10.3  1.07  7.14  4.41 999 1004.9   2.8   4.7  -0.2 99.0 99.00
2001 01 06 15 291 10.1 12.2  1.02  8.33  4.08 999 1005.5   3.1   4.6  -0.2 99.0 99.00
2001 01 06 16 297 10.7 13.6  1.12  7.69  4.00 999 1005.8   3.3   4.6  -0.5 99.0 99.00
2001 01 06 17 298 10.0 11.6  1.31  4.00  4.04 999 1005.4   3.1   4.6  -0.9 99.0 99.00
2001 01 06 18 304  9.6 12.3  1.25  4.55  4.22 999 1005.4   3.4   4.7  -1.8 99.0 99.00
2001 01 06 19 305 11.0 12.8  1.25  4.55  4.18 999 1005.6   3.6   4.8  -2.6 99.0 99.00
2001 01 06 20 290 10.8 12.7  1.21  4.55  4.27 999 1006.5   3.6   5.0  -2.8 99.0 99.00
2001 01 06 21 297 10.7 12.9  1.21  4.76  4.08 999 1007.2   3.4   5.1  -3.1 99.0 99.00
2001 01 06 22 297 10.2 12.3  1.14  4.76  4.18 999 1008.2   3.3   5.3  -3.3 99.0 99.00
2001 01 06 23 299  9.6 11.2  1.15  4.55  4.13 999 1009.0   3.4   5.1  -3.2 99.0 99.00
2001 01 07 00 295  6.7  8.0  1.02  4.55  4.05 999 1010.0   3.2   5.2  -2.7 99.0 99.00
2001 01 07 01 312  8.4  9.9  0.83  4.35  3.73 999 1010.3   3.3   5.1  -2.7 99.0 99.00
2001 01 07 02 315  9.5 11.3  0.86  4.17  3.68 999 1010.6   3.3   5.2  -1.8 99.0 99.00
2001 01 07 03 316  9.2 11.1  0.91  4.00  3.58 999 1010.9   3.1   5.2  -2.2 99.0 99.00
2001 01 07 04 315  9.0 10.3  1.06  4.17  3.74 999 1011.6   3.1   5.0  -3.1 99.0 99.00
2001 01 07 05 308  5.9  7.4  0.84  4.17  3.81 999 1011.9   3.1   5.1  -2.9 99.0 99.00
2001 01 07 06 305  4.2  5.0  0.66  4.00  4.00 999 1011.7   3.0   5.1  -3.2 99.0 99.00
2001 01 07 07 254  3.9  4.6  0.51  3.57  4.26 999 1012.2   2.9   5.0  -1.7 99.0 99.00
2001 01 07 08 219  5.7  6.6  0.44 14.29  4.72 999 1012.3   2.9   5.0  -2.4 99.0 99.00
2001 01 07 09 201  6.3  7.3  0.47 14.29  3.93 999 1012.1   3.3   5.1  -1.0 99.0 99.00
2001 01 07 10 196  5.6  6.4  0.52 14.29  3.88 999 1012.2   3.7   5.1  -0.5 99.0 99.00
2001 01 07 11 194  5.7  6.5  0.48 12.50  4.04 999 1012.5   4.0   4.9   0.3 99.0 99.00
2001 01 07 12 187  4.4  5.0  0.52  9.09  4.15 999 1013.1   4.2   4.5   1.0 99.0 99.00
2001 01 07 13 166  4.5  5.2  0.53  9.09  4.59 999 1012.9   4.7   4.1   1.6 99.0 99.00
2001 01 07 14 175  4.7  5.3  0.48  8.33  4.73 999 1012.9   5.0   3.8   2.3 99.0 99.00
2001 01 07 15 184  5.1  6.0  0.54  7.69  5.09 999 1013.2   5.1   3.6   2.1 99.0 99.00
2001 01 07 16 188  5.4  5.9  0.55 14.29  5.05 999 1013.0   4.9   3.5   2.1 99.0 99.00
2001 01 07 17 208  4.7  5.5  0.53 14.29  4.45 999 1012.3   4.3   3.6   1.6 99.0 99.00
2001 01 07 18 207  4.8  5.5  0.57 12.50  4.09 999 1011.4   4.1   3.5   1.7 99.0 99.00
2001 01 07 19 196  4.1  4.7  0.60  3.70  4.09 999 1011.0   4.1   3.6   2.0 99.0 99.00
2001 01 07 20 202  4.4  5.4  0.70  4.00  4.25 999 1011.0   4.2   3.7   2.2 99.0 99.00
2001 01 07 21 197  4.9  5.8  0.77  4.17  4.25 999 1011.2   4.3   3.7   2.3 99.0 99.00
2001 01 07 22 198  4.6  5.3  0.79  4.76  4.44 999 1011.8   4.6   3.6   2.2 99.0 99.00
2001 01 07 23 188  4.0  4.5  0.88  5.26  4.68 999 1011.9   4.7   3.5   2.0 99.0 99.00
2001 01 08 00 219  3.8  4.2  0.93  5.26  4.76 999 1012.5   4.7   3.5   2.1 99.0 99.00
2001 01 08 01 188  2.8  3.2  0.92  5.26  4.88 999 1012.3   4.5   3.4   2.6 99.0 99.00
2001 01 08 02 188  2.6  2.8  0.86  5.88  5.04 999 1012.3   4.7   3.2   3.0 99.0 99.00
2001 01 08 03 175  3.2  3.7  0.81  5.56  5.04 999 1012.2   4.9   3.2   3.4 99.0 99.00
2001 01 08 04 161  3.2  3.9  0.90 10.00  5.27 999 1012.1   4.9   2.9   3.5 99.0 99.00
2001 01 08 05 164  2.2  2.8  0.92  6.25  5.36 999 1011.7   5.2   3.0   3.4 99.0 99.00
2001 01 08 06 170  2.2  2.5  1.00  5.88  5.48 999 1011.2   5.1   3.0   3.4 99.0 99.00
2001 01 08 07  85  0.3  0.6  1.00  5.56  5.39 999 1011.4   5.2   2.9   3.3 99.0 99.00
2001 01 08 08 135  2.5  2.8  1.12  5.56  5.34 999 1010.8   5.8   3.2   3.4 99.0 99.00
2001 01 08 09 158  2.1  2.6  1.21  6.25  5.55 999 1010.1   4.8   3.6   3.1 99.0 99.00
2001 01 08 10 175  2.4  3.1  1.24  6.67  5.44 999 1009.7   4.9   4.0   2.9 99.0 99.00
2001 01 08 11 187  3.6  4.0  1.20  6.67  5.52 999 1009.6   4.9   3.4   2.9 99.0 99.00
2001 01 08 12 178  3.5  4.2  1.16  5.88  5.44 999 1009.4   5.0   3.8   3.4 99.0 99.00
